Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023],Series Name_social,Series Code_social,2021 [YR2021]_social,2022 [YR2022]_social,2023 [YR2023]_social,Series Name_env,Series Code_env,2021 [YR2021]_env,2022 [YR2022]_env,2023 [YR2023]_env,Series Name_stats,Series Code_stats,2021 [YR2021]_stats,2022 [YR2022]_stats,2023 [YR2023]_stats,Country_ID,Name
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,15.91581794,15.83565718,16.387469,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.39,76.064,..,Forest area (% of land area),AG.LND.FRST.ZS,10.40076395,10.3611378,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,94.99074167,130.61655,296.2580417,ARG,Argentina
Armenia,ARM,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,47164867557,53107640869,57515575061,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.043,73.372,..,Forest area (% of land area),AG.LND.FRST.ZS,11.53003161,11.52265543,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,503.769675,435.6661797,392.4763022,ARM,Armenia
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.184836294,8.64091109,1.980418776,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.043,73.372,..,Forest area (% of land area),AG.LND.FRST.ZS,11.53003161,11.52265543,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,503.769675,435.6661797,392.4763022,ARM,Armenia
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,79.66988882,101.4107783,119.714643,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.043,73.372,..,Forest area (% of land area),AG.LND.FRST.ZS,11.53003161,11.52265543,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,503.769675,435.6661797,392.4763022,ARM,Armenia
Armenia,ARM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,13.64985026,11.67648189,14.14657932,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.043,73.372,..,Forest area (% of land area),AG.LND.FRST.ZS,11.53003161,11.52265543,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,503.769675,435.6661797,392.4763022,ARM,Armenia
American Samoa,ASM,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,85.5,85.35,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,ASM,American Samoa
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,85.5,85.35,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,ASM,American Samoa
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,136.8,124.684271,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,85.5,85.35,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,ASM,American Samoa
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,85.5,85.35,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,ASM,American Samoa
Antigua and Barbuda,ATG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2376444044,2602595861,2703108431,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.497,79.236,..,Forest area (% of land area),AG.LND.FRST.ZS,18.30295455,18.16159091,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,ATG,Antigua and Barbuda
