Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
IDA total,IDA,Forest area (% of land area),AG.LND.FRST.ZS,25.9118905530878,25.7575510589462,..
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,24.3598290052099,24.4494297370837,..
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,48.3619448681206,48.0419900717626,..
"Iran, Islamic Rep.",IRN,Forest area (% of land area),AG.LND.FRST.ZS,6.63521109399075,6.64148949152542,..
Iraq,IRQ,Forest area (% of land area),AG.LND.FRST.ZS,1.90036118379833,1.90036118379833,..
Ireland,IRL,Forest area (% of land area),AG.LND.FRST.ZS,11.4097837131659,11.4678472927856,..
Isle of Man,IMN,Forest area (% of land area),AG.LND.FRST.ZS,6.07017543859649,6.07017543859649,..
Israel,ISR,Forest area (% of land area),AG.LND.FRST.ZS,6.46950092421442,..,..
Italy,ITA,Forest area (% of land area),AG.LND.FRST.ZS,32.5308994748357,32.7125321249831,..
Jamaica,JAM,Forest area (% of land area),AG.LND.FRST.ZS,55.4730655586334,55.8320498614958,..
Japan,JPN,Forest area (% of land area),AG.LND.FRST.ZS,68.4087791495199,68.4087791495199,..
Jordan,JOR,Forest area (% of land area),AG.LND.FRST.ZS,1.09804716534901,1.09804716534901,..
Kazakhstan,KAZ,Forest area (% of land area),AG.LND.FRST.ZS,1.29048383153684,1.3013145534689,..
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,6.34481849808483,6.34481849808483,..
Kiribati,KIR,Forest area (% of land area),AG.LND.FRST.ZS,1.45679012345679,1.45679012345679,..
"Korea, Dem. People's Rep.",PRK,Forest area (% of land area),AG.LND.FRST.ZS,49.903330288182,49.7270160285691,..
"Korea, Rep.",KOR,Forest area (% of land area),AG.LND.FRST.ZS,64.3135245901639,64.2110655737705,..
Kosovo,XKX,Forest area (% of land area),AG.LND.FRST.ZS,..,..,..
Kuwait,KWT,Forest area (% of land area),AG.LND.FRST.ZS,0.350729517396184,0.350729517396184,..
Kyrgyz Republic,KGZ,Forest area (% of land area),AG.LND.FRST.ZS,6.95318039624609,7.04827945776851,..
Lao PDR,LAO,Forest area (% of land area),AG.LND.FRST.ZS,71.7547660311958,71.6052859618717,..
Late-demographic dividend,LTE,Forest area (% of land area),AG.LND.FRST.ZS,39.5482953595202,39.5641881279218,..
Latin America & Caribbean,LCN,Forest area (% of land area),AG.LND.FRST.ZS,46.3779012956611,46.2606358116724,..
Latin America & Caribbean (excluding high income),LAC,Forest area (% of land area),AG.LND.FRST.ZS,46.7612450504447,46.6260049838789,..
