Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023],Series Name_social,Series Code_social,2021 [YR2021]_social,2022 [YR2022]_social,Series Name_env,Series Code_env,2021 [YR2021]_env,2022 [YR2022]_env,Series Name_stats,Series Code_stats,2021 [YR2021]_stats,2022 [YR2022]_stats,2023 [YR2023]_stats,Country_ID,Name
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.9488777034082165,-1.939856045617641,Forest area (% of land area),AG.LND.FRST.ZS,-0.5166857753832299,-0.5401584621716827,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFW,Africa Western and Central
Africa Western and Central,AFW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.9488777034082165,-1.939856045617641,Forest area (% of land area),AG.LND.FRST.ZS,-0.5166857753832299,-0.5401584621716827,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFW,Africa Western and Central
Angola,AGO,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,-0.13623706617571732,-0.13712196376347557,-0.1442890283873926,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.3168167917610032,-1.3598352876681254,Forest area (% of land area),AG.LND.FRST.ZS,0.9381404951941921,0.9064267694753805,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.03525677247275461,-0.09245191713853905,-0.04430845690152082,AGO,Angola
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.1631503210522407,-0.16384724161110548,-0.1694927035946315,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.3168167917610032,-1.3598352876681254,Forest area (% of land area),AG.LND.FRST.ZS,0.9381404951941921,0.9064267694753805,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.03525677247275461,-0.09245191713853905,-0.04430845690152082,AGO,Angola
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,-0.16315032104711621,-0.1638472416062051,-0.16949270358957677,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.3168167917610032,-1.3598352876681254,Forest area (% of land area),AG.LND.FRST.ZS,0.9381404951941921,0.9064267694753805,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.03525677247275461,-0.09245191713853905,-0.04430845690152082,AGO,Angola
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,-0.16315032105414184,-0.1638472416124497,-0.16949270359543323,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.3168167917610032,-1.3598352876681254,Forest area (% of land area),AG.LND.FRST.ZS,0.9381404951941921,0.9064267694753805,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.03525677247275461,-0.09245191713853905,-0.04430845690152082,AGO,Angola
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,-0.15838410365267266,-0.15903246625003656,-0.16482008662214792,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.6776668598026099,0.6320636464984968,Forest area (% of land area),AG.LND.FRST.ZS,-0.12027209372624836,-0.1379488997847835,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.18042754671731756,-0.1855286680822921,-0.19445645182731497,ALB,Albania
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.16315032105473537,-0.1638472416125887,-0.1694927035954725,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.6776668598026099,0.6320636464984968,Forest area (% of land area),AG.LND.FRST.ZS,-0.12027209372624836,-0.1379488997847835,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.18042754671731756,-0.1855286680822921,-0.19445645182731497,ALB,Albania
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,-0.16315032104699778,-0.16384724160468367,-0.16949270358811405,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.6776668598026099,0.6320636464984968,Forest area (% of land area),AG.LND.FRST.ZS,-0.12027209372624836,-0.1379488997847835,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.18042754671731756,-0.1855286680822921,-0.19445645182731497,ALB,Albania
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,-0.16315032105359983,-0.16384724161204975,-0.16949270359478275,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.6776668598026099,0.6320636464984968,Forest area (% of land area),AG.LND.FRST.ZS,-0.12027209372624836,-0.1379488997847835,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.18042754671731756,-0.1855286680822921,-0.19445645182731497,ALB,Albania
